date,Temperature,Humidity,Light,CO2
2/11/2015 14:48,21.76,31.13333333,437.3333333,1029.666667
2/11/2015 14:49,21.79,31,437.3333333,1000
2/11/2015 14:50,21.7675,31.1225,434,1003.75
2/11/2015 14:51,21.7675,31.1225,439,1009.5
2/11/2015 14:51,21.79,31.13333333,437.3333333,1005.666667
2/11/2015 14:53,21.76,31.26,437.3333333,1014.333333
2/11/2015 14:54,21.79,31.1975,434,1018.5
2/11/2015 14:55,21.79,31.39333333,437.3333333,1018.666667
2/11/2015 14:55,21.79,31.3175,434,1022
2/11/2015 14:57,21.79,31.46333333,437.3333333,1027.333333
2/11/2015 14:57,21.79,31.525,437.75,1047.75
2/11/2015 14:58,21.79,31.575,441.75,1049
2/11/2015 15:00,21.79,31.395,442,1061.5
2/11/2015 15:01,21.79,31.3925,441.75,1049
2/11/2015 15:02,21.79,31.5,441.5,1048
2/11/2015 15:03,21.815,31.5,438,1049.25
2/11/2015 15:04,21.815,31.4725,449.5,1051.25
2/11/2015 15:04,21.89,31.6,449.5,1060.5
2/11/2015 15:06,21.79,31.55,449.5,1059.5
2/11/2015 15:07,21.82333333,31.73,447.6666667,1072
2/11/2015 15:08,21.865,31.7225,449.5,1072.333333
2/11/2015 15:08,21.89,31.745,449.5,1075.333333
2/11/2015 15:10,21.89,31.7675,449.5,1087
2/11/2015 15:10,21.89,31.7675,437.75,1083.25
2/11/2015 15:11,21.89,31.79,442.6666667,1086.333333
2/11/2015 15:13,21.89,31.79,437.3333333,1091
2/11/2015 15:14,21.89,31.89,439,1100
2/11/2015 15:15,21.89,31.89,444,1101
2/11/2015 15:16,21.89,31.865,444,1107
2/11/2015 15:16,21.89,31.79,444,1110
2/11/2015 15:17,21.89,31.865,444,1101.75
2/11/2015 15:19,21.89,31.73,444,1100
2/11/2015 15:20,21.89,31.7225,444,1092.75
2/11/2015 15:21,21.89,31.7,444,1092.5
2/11/2015 15:22,21.89,31.695,436.5,1094
2/11/2015 15:23,21.89,31.56666667,434,1085.666667
2/11/2015 15:23,21.89,31.55,436.5,1047
2/11/2015 15:24,21.89,31.36,434,1031
2/11/2015 15:26,21.89,31.125,432.75,977.5
2/11/2015 15:27,21.89,31.15,436.5,961.25
2/11/2015 15:28,21.89,31.06333333,434,948
2/11/2015 15:29,21.89,30.77,429,913.25
2/11/2015 15:29,21.89,30.7675,432.75,882.5
2/11/2015 15:30,21.89,30.945,429,884.5
2/11/2015 15:32,21.89,30.7925,429,899
2/11/2015 15:33,21.89,30.77,432.75,888.25
2/11/2015 15:34,21.89,30.795,436.5,878.5
2/11/2015 15:35,21.89,30.8175,429,891.25
2/11/2015 15:36,21.89,30.65,436.5,896.5
2/11/2015 15:36,21.89,30.7475,429,889.5
2/11/2015 15:38,21.89,30.76333333,429,887.3333333
2/11/2015 15:39,21.89,30.77,429,893.5
2/11/2015 15:40,21.89,30.445,429,832.5
2/11/2015 15:40,21.89,30.56666667,429,829
2/11/2015 15:42,21.89,30.5,429,829.25
2/11/2015 15:42,21.89,30.575,429,850.5
2/11/2015 15:43,21.89,30.6,429,844
2/11/2015 15:45,21.89,30.55,429,840.25
2/11/2015 15:46,21.865,30.55,429,823.75
2/11/2015 15:47,21.89,30.6,429,824
2/11/2015 15:48,21.89,30.34,429,813
2/11/2015 15:49,21.89,30.35666667,429,802
2/11/2015 15:49,21.865,30.3925,429,810.75
2/11/2015 15:51,21.89,30.35666667,429,805.3333333
2/11/2015 15:52,21.89,30.315,429,796.5
2/11/2015 15:53,21.89,30.2,429,795
2/11/2015 15:53,21.89,30.34,429,793.5
2/11/2015 15:55,21.89,30.295,429,790.5
2/11/2015 15:55,21.89,30.29,429,786.5
2/11/2015 15:56,21.89,30.39,429,794.3333333
2/11/2015 15:58,21.89,30.365,429,795.5
2/11/2015 15:59,21.89,30.42666667,414,792.6666667
2/11/2015 16:00,21.89,30.73,424,798
2/11/2015 16:01,21.89,30.4175,429,795.5
2/11/2015 16:01,21.89,30.39,429,797.75
2/11/2015 16:02,21.89,30.39,429,798
2/11/2015 16:04,21.89,30.445,429,802
2/11/2015 16:05,21.89,30.35666667,421.5,797.5
2/11/2015 16:06,21.89,30.32333333,429,791.5
2/11/2015 16:07,21.89,30.32,418.75,788.25
2/11/2015 16:08,21.89,30.39,429,792.25
2/11/2015 16:08,21.89,30.39,429,795.5
2/11/2015 16:09,21.89,30.365,429,793.5
2/11/2015 16:11,21.89,30.23,429,789.3333333
2/11/2015 16:12,21.89,30.2,429,786
2/11/2015 16:13,21.89,30.0225,429,771.75
2/11/2015 16:14,21.89,29.96,429,760
2/11/2015 16:14,21.89,29.9175,429,756
2/11/2015 16:15,21.89,30.1,429,754
2/11/2015 16:17,21.89,30.15,416.5,759
2/11/2015 16:18,21.89,30.13333333,421.6666667,756.6666667
2/11/2015 16:19,21.89,30.47,438,764.25
2/11/2015 16:20,21.89,30.16666667,441,768
2/11/2015 16:21,21.89,30.075,438,770.25
2/11/2015 16:21,21.89,30.125,438,766.25
2/11/2015 16:23,21.89,30.175,438,767.75
2/11/2015 16:24,21.89,30.295,438,777
2/11/2015 16:25,21.89,30.2,441,775.3333333
2/11/2015 16:25,21.89,30.2,436.3333333,768
2/11/2015 16:27,21.865,30.15,438,766.75
2/11/2015 16:27,21.89,30.075,438,772.5
2/11/2015 16:28,21.89,30.0725,435.5,774.75
2/11/2015 16:30,21.89,30.03,435,766.3333333
2/11/2015 16:31,21.89,29.9175,434.5,752
2/11/2015 16:32,21.89,30.1,430.5,754
2/11/2015 16:33,21.89,30.1,441,755
2/11/2015 16:34,21.89,30.075,431,763.25
2/11/2015 16:34,21.89,30.1975,425,769.5
2/11/2015 16:36,21.89,30.23,419,769.3333333
2/11/2015 16:37,21.9175,30.5475,395.25,772.25
2/11/2015 16:38,21.96333333,30.79333333,426.6666667,784.6666667
2/11/2015 16:38,21.9725,30.2,424.75,784.25
2/11/2015 16:40,22,30.175,423.5,794.25
2/11/2015 16:40,21.945,30.245,423.5,791
2/11/2015 16:41,21.92666667,30.29,426.6666667,791.3333333
2/11/2015 16:43,21.9725,30.175,428.25,793.25
2/11/2015 16:44,21.89,30.245,433,787.5
2/11/2015 16:45,21.92666667,30.35666667,433,789
2/11/2015 16:46,21.945,30.1725,428.25,782.75
2/11/2015 16:46,21.9175,30.34,428.25,783.5
2/11/2015 16:47,21.92666667,30.29,426.6666667,791
2/11/2015 16:49,21.9175,30.2925,428.25,786
2/11/2015 16:50,21.9175,30.27,433,786.5
2/11/2015 16:51,21.92666667,30.19666667,433,786.3333333
2/11/2015 16:52,21.89,30.34,428.25,786.3333333
2/11/2015 16:53,21.945,30.34,433,787.6666667
2/11/2015 16:53,21.945,30.39,433,786.5
2/11/2015 16:54,21.89,30.365,433,791.75
2/11/2015 16:56,21.89,30.39,433,788
2/11/2015 16:57,21.9175,30.4725,433,797.75
2/11/2015 16:58,21.9175,30.39,433,801.75
2/11/2015 16:59,21.945,30.5,433,803.5
2/11/2015 16:59,21.89,30.4725,433,811
2/11/2015 17:00,21.89,30.42666667,433,803.6666667
2/11/2015 17:02,21.9725,30.5,433,801.5
2/11/2015 17:03,21.945,30.5,433,804
2/11/2015 17:04,21.9725,30.4175,433,807
2/11/2015 17:05,21.945,30.3675,433,801.75
2/11/2015 17:06,21.9725,30.4725,433,796.25
2/11/2015 17:06,21.92666667,30.53333333,433,807
2/11/2015 17:08,21.9725,30.55,433,823.75
2/11/2015 17:09,21.89,30.46333333,433,818
2/11/2015 17:10,21.956,30.458,433,807.5
2/11/2015 17:10,21.9175,30.5,433,814
2/11/2015 17:12,21.96333333,30.39,433,804.25
2/11/2015 17:12,21.945,30.445,433,805
2/11/2015 17:13,21.945,30.3975,433,805.75
2/11/2015 17:15,21.945,30.3425,433,799.25
2/11/2015 17:16,22,30.445,433,797
2/11/2015 17:17,21.9725,30.4175,433,798.25
2/11/2015 17:18,22,30.2,433,784.5
2/11/2015 17:19,21.92666667,30.32666667,423.6666667,780.6666667
2/11/2015 17:19,21.9725,30.365,433,782.75
2/11/2015 17:21,21.89,30.39,426,787
2/11/2015 17:22,21.89,30.245,426,790.5
2/11/2015 17:23,21.89,30.3175,429.5,782.25
2/11/2015 17:23,21.89,30.19666667,423.6666667,778
2/11/2015 17:25,21.89,30.2475,422.5,778
2/11/2015 17:25,21.89,30.13333333,428.3333333,773.3333333
2/11/2015 17:26,21.89,30.175,419,766.25
2/11/2015 17:28,21.89,30.125,419,756.25
2/11/2015 17:29,21.89,30.175,419,751.3333333
2/11/2015 17:30,21.89,30.03333333,419,746.5
2/11/2015 17:31,21.89,29.8675,419,740.5
2/11/2015 17:31,21.84,29.84,419,735
2/11/2015 17:32,21.89,29.89,419,719
2/11/2015 17:34,21.815,29.84,419,718
2/11/2015 17:35,21.82333333,29.85666667,419,716
2/11/2015 17:36,21.84,29.84,419,712.25
